1;0.5;8.4615324;45.584588;38,56,58,
2;0.6;3.8078434;30.965299;58,72,
3;0.37;62.268716;21.816192;
4;0.37;92.868183;11.373036;66,68,
5;0.37;32.684529;12.884209;33,96,
6;0.37;74.301847;93.819547;80,92,
7;0.37;29.232575;48.452965;
8;0.37;12.821888;74.052807;75,
9;0.37;51.369479;30.23414;89,
10;0.37;39.609457;0.71203633;97,
11;0.37;97.333044;60.882952;40,94,
12;0.37;29.615546;35.014446;
13;0.37;59.113179;64.031213;16,30,69,
14;0.37;57.063444;83.740499;
15;0.37;60.938477;9.5685537;43,61,85,86,
16;0.37;56.002977;57.974486;13,30,
17;0.37;28.290847;57.433808;55,
18;0.37;15.662992;51.46516;70,
19;0.37;72.909;44.694359;27,
20;0.37;4.3400845;95.893685;
21;0.37;79.426082;17.785581;32,34,48,50,90,
22;0.37;40.78453;55.090897;25,41,84,91,
23;0.37;82.600308;61.886282;37,44,45,62,
24;0.37;96.245043;2.9580718;52,66,68,
25;0.37;42.352182;63.373342;22,41,
26;0.37;5.7950909;83.056942;
27;0.37;78.198211;38.817509;19,
28;0.37;62.762644;42.90961;99,100,
29;0.37;50.794349;7.6327458;59,87,
30;0.37;56.669285;57.283245;13,16,
31;0.37;31.103601;86.327959;71,
32;0.37;74.054122;20.138322;21,48,61,90,
33;0.37;34.411155;9.0309962;5,97,
34;0.37;87.563064;18.416426;21,50,
35;0.37;33.543689;66.390813;42,78,
36;0.37;79.279206;72.44447;44,45,67,
37;0.37;80.104335;62.326363;23,44,45,62,
38;0.37;5.6202381;46.200624;1,58,
39;0.37;40.506774;30.615037;
40;0.37;96.014204;63.450203;11,94,
41;0.37;41.568058;55.352382;22,25,84,91,
42;0.37;33.112866;65.82145;35,78,
43;0.37;63.003075;11.906457;15,61,86,
44;0.37;85.39908;66.642936;23,36,37,45,62,
45;0.37;78.492857;67.239006;23,36,37,44,62,
46;0.37;53.805575;92.152484;
47;0.37;73.926331;82.056074;67,
48;0.37;73.281649;17.296841;21,32,61,90,
49;0.37;44.529957;94.065286;
50;0.37;84.293571;19.536356;21,34,
51;0.37;49.477459;20.908162;57,59,89,
52;0.37;93.955648;0.83583423;24,66,68,
53;0.37;79.173533;29.451373;
54;0.37;13.993743;26.932367;
55;0.37;24.128811;57.859825;17,88,
56;0.37;13.36165;39.028573;1,58,70,72,
57;0.37;53.257659;17.794031;51,59,89,
58;0.37;6.3139088;38.711551;1,2,38,56,72,
59;0.37;47.03198;14.617047;29,51,57,
60;0.37;97.837275;82.486234;
61;0.37;67.557686;14.428802;15,32,43,48,86,90,
62;0.37;86.678021;67.19944;23,37,44,45,94,
63;0.37;49.626102;74.148754;81,
64;0.37;29.624386;1.42899;
65;0.37;19.087035;13.872997;
66;0.37;95.263535;3.0084938;4,24,52,68,
67;0.37;75.366378;80.049451;36,47,
68;0.37;94.179766;4.6250048;4,24,52,66,
69;0.37;66.912592;65.784952;13,83,93,
70;0.37;19.093907;44.895102;18,56,
71;0.37;29.202596;79.467563;31,
72;0.37;6.4891878;35.302336;2,56,58,
73;0.37;5.2655618;2.4857404;
74;0.37;28.567561;21.253928;95,96,
75;0.37;17.409292;70.311257;8,
76;0.37;67.446059;54.073332;93,99,
77;0.37;89.880616;86.188536;
78;0.37;35.368381;73.0402;35,42,
79;0.37;10.848878;10.108268;
80;0.37;79.051888;96.319686;6,92,
81;0.37;46.880679;73.011817;63,
82;0.37;67.876207;1.3222531;85,
83;0.37;68.084057;67.081529;69,93,
84;0.37;42.282043;47.701231;22,41,91,
85;0.37;65.093748;3.288544;15,82,86,
86;0.37;62.690019;10.883607;15,43,61,85,
87;0.37;52.247811;6.8449433;29,
88;0.37;19.518318;60.01578;55,
89;0.37;51.147192;22.487453;9,51,57,
90;0.37;74.086344;13.773937;21,32,48,61,
91;0.37;42.112272;52.166878;22,41,84,
92;0.37;73.535253;92.196582;6,80,
93;0.37;68.397999;60.866776;69,76,83,
94;0.37;95.098523;68.271351;11,40,62,
95;0.37;31.336904;22.778027;74,96,
96;0.37;34.752904;20.001236;5,74,95,
97;0.37;39.520498;3.4677105;10,33,
98;0.37;3.1180257;65.636774;
99;0.37;63.135785;49.893507;28,76,100,
100;0.37;56.41077;47.727423;28,99,
